	artist_name	song_title	lyrics
10	nipsey hussle	7 Days A Week by Nipsey Hussle	['yea', 'nigga rimpau', 'wa way studio', 'cuz ummm wiz curren mixtap tape deck', 'Cd changer heard thi beat like fuck', 'yahp', 'Ya know onli thought right th leak', 'shit hear go', 'day week differ freak', 'got tire fuck hoe smoke count chees', 'watch godfath leather couch flat screen', 'say Im thi marathon ask doe mean', 'not no puff pass pleas roll', 'girl get marlon brando stop tryin pick brain', 'Yo boyfriend lame whi not use thi game', 'look ill first class plane', 'ixnay land gear caus dont need no runway', 'final destin cloud oneway', 'fuck street not no stranger thi gun play', 'eat beat dont ever take lunch break', 'back back swisha sweet never grown no sober shit', 'post traumat stress feel like Im cope', 'smoke best imposs not notic thi', 'thousand feet cross atlant ocean pack swisha roll', 'time not even yet', 'Im tryin live life got no regret', 'key success multipli approach', 'got roll dice first time go legit', 'seiz opportun believ take control', 'get marathon grind till', 'napa valley dolc cup runneth', 'trunk roof eh know rollin', 'hussl', 'know place go', '', 'not gotta worri', 'not gotta rush caus not no hurri', 'cant afraid let go', 'gotta let go', 'not gotta worri caus thi gon take time', 'not no hurri']
11	nipsey hussle	Actions Is Everything by Nipsey Hussle	['aint got patienc talk nigga caus slow', 'fuck around bark nigga', 'nigga wont respect til empti clip', 'caus action everyth word mean shit', 'aint got patienc talk nigga caus slow', 'fuck around bark nigga', 'nigga wont respect til empti clip', 'caus action everyth word mean shit', 'whi whi whi Im still hood', 'burner lap get understood', 'multi million dollar deal sittin tabl', 'dope block post forti glock navel', 'get pictur nigga take life away', 'plu pimp nigga take wife away', 'babi havin babi kid killin yeah life today', 'better get pistol fuck pray brighter day', 'creas jean gold chain white tee', 'shine whi dirti motherfuck dont like', 'promis tri right thing like spike lee', 'despit effort nigga still got extra', 'ima get crackin bust let yall', 'Im comin hood killin nigga habit', 'everybodi everybodi done', 'everybodi tell want blah', 'aint got patienc talk nigga caus slow', 'fuck around bark nigga', 'nigga wont respect til empti clip', 'caus action everyth word mean shit', 'aint got patienc talk nigga caus slow', 'fuck around bark nigga', 'nigga wont respect til empti clip', 'caus action everyth word mean shit']
12	nipsey hussle	A Hunnit A Show by Nipsey Hussle (Ft. Rick Ross)	['need hundr show fli jet', 'fuck girl alway readi sex', 'keep eye thi game let money invest', 'nigga amma die fuck respect', 'fuck young nigga two twelv trunk nigga', 'havin everyth want nigga', 'life rush nigga probabl never get enough nigga', 'wanna stunt nigga', 'nigga alway look whole spot go', 'new money get stuck', 'life wa rough', 'skinni nigga wa buff tri like puff', 'like russ real life said wassup', 'need benz nigga fuck buick', 'made plan stuck', 'man bluff us small talk su us', 'money must us', 'came corner til affluent', 'gotta bring gut', 'tri get point gotta bring truck us', 'em blog never shook nigga', 'hundr rack book nigga', 'greatest ever like brooklyn nigga', 'thi ice hard overlook nigga', 'fell love fast money', 'rack back end', 'walk caus four brick', 'maybach back', 'lax nip roll pound', 'pool outsid polo loung', 'mob bitch hold', 'pinki ring gold rolex crown', 'testifi never go rout', 'black bottl moet', 'first mil kodak smile', 'tell plug bring back', 'fake jewel never toler', 'pray boobe case exhoner', 'everi night thank god made', 'everi night thank god made', 'bitch bad like paula patton', 'big ass mansion rappin', 'tell polic call captain', 'motherfuck amma start clappin']
13	nipsey hussle	A Hunnit A Show Feat. Rick Ross by Nipsey Hussle	['need hundr show fli jet', 'fuck girl alway readi sex', 'keep eye thi game let money invest', 'nigga die fuck respect', 'fuck young nigga two twelv trunk nigga', 'havin everyth want nigga', 'life rush nigga probabl never get enough nigga', 'wanna stunt nigga', 'nigga alway look whole spot go', 'new money get stuck', 'life wa rough', 'skinni nigga wa buff tri like puff', 'like russ real life said wassup', 'need benz nigga fuck buick', 'made plan stuck', 'man bluff us small talk su us', 'money must us', 'came corner til affluenc', 'gotta bring gut', 'tri get point gotta bring truck us', 'em blog never shook nigga', 'hundr rack book nigga', 'greatest ever like brooklyn nigga', 'thi ice hard overlook nigga', 'fell love fast money', 'rack back end', 'walk caus four brick', 'maybach back', 'lax nip roll pound', 'pool outsid polo loung', 'mob bitch hold', 'pinki ring go rolex crown', 'testifi never go rout', 'black bottl moet', 'first mil kodak smile', 'tell plug bring back', 'fake jewel never toler', 'pray boobe case exhoner', 'everi night thank god made', 'everi night thank god made', 'bitch bad like paula patton', 'big ass mansion rappin', 'tell polic call captain', 'motherfuck start clappin']
14	nipsey hussle	Ain't Hard Enough by Nipsey Hussle (Ft. Mozzy)	['duke', 'nigga not hard enough', 'knuckl not scar enough', 'not foreign car enough yeah', 'nigga not hard enough', 'knuckl not scar enough', 'gang not larg enough', 'came far fuck', 'cuban harley truck', 'buck arlington', 'pleas not start us', 'sound gunshot charg', 'come onc week like garbag truck', 'thi thousand dollar chain carbon clutch', 'quarter million dollar car driver caus', 'everyth done boss', 'disrespect arrog gon stop us', 'rich nigga block not block us', 'rap dream disappear pop', 'see nigga thi life get lock', 'lost insid system pull white man stock', 'onli differ pick hip hop', 'thi whi still cannot stop us', 'nigga not hard enough', 'nigga not hard enough', 'nigga not hard us', 'youngn actin finna charg', 'gotta drop someth part us', 'tore target', 'wa kid tear parti', 'yeah sucker know far', 'smoker know far come', 'nigga not known park noth', 'theyar not follow nigga car noth', 'chargin', 'not pluck shooter', 'run marathon around goofi ass', 'pull necklac reckless real shooter gang', 'fore buy nooki K ya gotta let shoot K', 'told mama noth ask today', 'modifi G lock convert fulli thang', 'give twin band way hi thing', 'shoestr around stupid thang', 'give twin band way hi thing', 'shoestr around stupid thang', 'nigga not hard enough']
15	nipsey hussle	All Birds freestyle by Nipsey Hussle (Ft. YG)	['walk real nigga', 'self made millionair', 'could ask huh', 'blue chuck gold spike', 'black benz chrome pipe', 'run shit right', 'press line got stripe', 'luggag long flight', 'see public bet arm bright', 'million dollar meet caus song tight', 'said gonna take nigga right', 'fake till make ball right', 'stack till paper lebron height', 'russian cut diamond cost car twice', 'wrong type', 'benz fog light', 'press ga snap neck like short bite', 'nigga live fraud life', 'bitch fraud wife', 'meet real nigga play card right', 'caus meet real bitch broad right', 'bet amma leav mark like dog bite', 'sellin hot like white', 'No cloth closet bird', 'No sneaker sneaker box bird', 'No luggag trunk man bird', 'not go back amma ball first', 'put dirt word', 'team straight perv', 'hoe dirti nigga germ', 'listen nip learn like spittin verb', 'bad lil bitch curv', 'homi like corner turn', 'man big bodi nigga swerv', 'bitch befor come hous call first', 'nigga homework', 'gotta take care home first', 'ho nigga take ho bath', 'got strap real nigga hold', 'rachet let get ratchet though', 'never trick bitch not magic show', 'never trust never lust', 'not first night never fuck', 'x', 'No cloth closet bird', 'No sneaker sneaker box bird', 'No luggag trunk man bird', 'not go back amma ball first']
16	nipsey hussle	All For The Dough by Nipsey Hussle	['look let put money cant make mine stop', 'Im hot nigga like pistol dime block', 'befor chang lane check blind spot', 'caus ill right waitin like bike cop', 'nine cock Im hot', 'nigga realli need one shot', 'dome gone no', 'could kill em goin fast slow flow', 'man Im six front', 'motherfucka prolli smoke six blunt', 'two os back got six front', 'add four plu whatchu got', 'perfect ten ima curs', 'thinkin slauson boy wa not men', 'ima knock men ring third round', 'treat like superbowl thi fourth', 'howev want got low', 'come get got got good nigga go', 'hustl rob dough', 'dough', 'howev want got low', 'come get got got good nigga go', 'hustl rob dough', 'dough', 'dough cloth', 'bitch hoe', 'paper cash nigga use livin fast', 'navig dash big burner stash', 'two twelv trunk nigga dont know half', 'look aint nobodi hold hand thi shit', 'wa gave game ran thi shit', 'road rich dont stand no bitch', 'caught free ridin', 'aint mob moe', 'money everyth G', 'got credit still C', 'keep cash deliv dealin', 'wonder young nigga crook', 'ceo label no ged', 'see flow peopl street', 'seen starv', 'finna watch eat', 'look fifth vodka v ima sick nigga', 'Im dead hood livin like rich nigga', 'bitch switch ima stay shitti', 'win lose draw cant take pain', 'said play game gotta make name histori', 'put book nigga brought flame', 'caus go nobodi know come thi', 'let make toast thi lavish shit', 'pop moe pop vuev baddest bitch', 'fast lane young nigga havin shit', 'go sleep late get grind', 'wake mornin money mind', 'caus ima hustl']
17	nipsey hussle	All Get Right by Nipsey Hussle (Ft. J. Stone)	['smokin backwood', 'marathon OG', '', 'hussl', 'yeah feel brand new like start thi shit', 'like begin', 'know wait', 'foundat solid let us take flight', 'turn light turn mic', 'roll flight let us get right', 'shit wait whole fuck life', 'shit wait whole fuck life', 'got good still hood', 'kept word yea nigga make good', 'figur nigga v', 'No tint nigga see well', 'cuban link k', 'presidenti wear everi day', 'symbol enterpris', 'came lint dicki pocket emphas', 'check file nigga say kept solid', 'fuck rumor money talk made less deposit', 'drop video go check comment', 'love around world nigga problem', 'liquor franc car frankfurt', 'told keep advanc', 'distribut market label', '', 'word offic want', 'right fuck', 'question request paid fuck due', 'coupl dream come true', 'porsch lot ask come coup', 'walk club hundr goon', 'magnum bottl veuv pungent fume', 'model bitch stunt fuck shoe', 'bring homegirl caus come', 'fast car leather seat', 'drop top fuck freak', 'blow ride pch', 'nip hussl great', 'middl finger face', 'infant stone came home', 'flow sick disinfect microphon', 'told wa never gon', 'chang still thi marathon', 'heavi hitter like barri bond', 'lightweight setback heavi arm', 'jump stage jewelri froze', 'fresh spend money kill movi role', 'money like brink truck', 'no money like prenup', 'need get green', 'caus team', 'light flihgt lace nike', 'victori lap tonight night', 'thi shit wait whole fuck life', 'thi shit wait whole fuck life stone', 'like', 'VL', 'fuck middl man', 'proud pay ihussl com', 'victori lap come soon nigga', 'hussl']
18	nipsey hussle	All Money In by Nipsey Hussle (Ft. June Summers)	['hussl nigga', 'slauson ave', 'money no money', 'No need hate Im suppos fli', 'suppos see name light', 'money no money life', 'sinc youd rather hate show love', 'start block rose top', 'took dollar stash froze watch', 'nigga got nerv mad caus Im poppin', 'knowin damn well Im crenshaw slauson', 'want holler want problem', 'dont caus fraud Im truth like iver', 'son nigga like father', 'Im walkin bank made deposit', 'second thi week hundr thousand', 'dollar Im definit baller', 'young fresh nigga no high school diploma no colleg', 'still futur lookin brighter light impala', 'ima dog bitch dont kiss dont call', 'ima kick tonight Im not gonna miss tomorrow', 'momma tell look got problem', 'plu Im marri game Im dollar', 'know think prolli think thi shit easi', 'hear talkin hear talkin greasi', 'fuck say caus thi rap shit feed', 'still sixti wall blue graffiti', 'never fall never fail', 'bounc back prevail time two mind', 'Im onli twenti two wa fresh outta jail', 'damn near lost deal nigga still', 'still fear no man sincer no scam', 'No old school pictur polic shakin hand', 'alway fought never ran', 'alway bust never jam', 'never told no nigga advanc stanc', 'nigga left chanc plot plan', 'road rich extens cash', 'two thousand jean pop expens tag', 'Im dumpin kush expens ash', 'No need hate Im suppos fli', 'suppos see name light', 'money no money life', 'sinc youd rather hate show love', 'tell wa Gd', 'roll life feet', 'hate see us', 'aint like', 'tell wa Gd', 'B hoe dont believ us', 'caus dude like want us', 'aint like']
19	nipsey hussle	Am I Gonna Make It by Nipsey Hussle	['yeah', 'hey hear breath kind hard', 'fresh push ya know', 'Uh uh yeah uh right', 'right', 'Uh hussl look', 'gon make gon fail', 'not tri gon tell', 'say heaven say hell', 'stuck til get', 'tri faith less fear', 'tri express peer', 'talk bout dream', 'better let seen caus clear', 'look flock not weird', 'nigga groupi borderlin queer', 'fuck natur success hold dear', 'could judg one wa onc one', 'nigga might one day becom somebodi', 'made good hi word transcend come', 'nevertheless still come round show face motiv young one', 'nigga never give credit none', 'question go unansw give god', 'nigga cannot reason gon meet squad', 'normal nowaday life anyth besid', 'cold lone road knew took job', 'progress heart money mind', 'got rimpau CD changer smokin drive', 'nigga uh', 'not realli start not lane', 'overal race', 'one reason whi', 'marathon runner']
